Pl.	Sail	Sailor	Subgroup	Spl2	From	1	2	3	4	Total
1	CRO1202	Buba Pulek	 	Yellow	CSC	1	(15)	4	2	7
2	SLO711	Luka Zabukovec	U12	Blue	JK JADRO KOPER	1	(10)	3	3	7
3	ITA8776	Alfredo Salerno	 	Blue	Circolo Canottieri RoggerÒ di Lauria	(17)	1	6	2	9
4	AUT1205	Yannik Hoeger	 	White	WSA	(10)	4	6	1	11
5	SLO255	Fras Martin	 	Red	JK IZOLA	5	(6)	3	3	11
6	ITA8953	Barro Margerita	Girl	Red	YC Adriaco	3	(29)	1	8	12
7	HUN1373	Szabo Roni Oszkar	 	White	AVSE	(49)	2	7	3	12
8	HUN918	Bendegúz Nagy	 	Yellow	BYC	6	(11)	2	4	12
9	SRB444	Stefan Yuill	 	White	AJK BEOGRAD	1	(41)	3	9	13
10	ITA8821	Mattia Cesana	 	White	FRAGLIA VELA RIVA	12	(36)	2	2	16
11	HUN1379	Alexandar Vladiszavlyev	 	White	Spartacus YC	4	10	2	(46)	16
12	ITA8924	Tommaso Boccuni	 	Yellow	FRAGLIA VELA RIVA	(14)	9	5	3	17
13	SUI5	Anja Von Allmen	Girl	White	RCO	3	(104\BFD)	9	6	18
14	UKR17	Bogdan Rukhlin	 	Blue	Mariupol	11	2	(104\BFD)	7	20
15	ITA8743	Michele Ini	 	Red	CV BELLANO	11	(28)	1	9	21
16	ITA9045	Alessio Castellan	 	Yellow	CDV Muggia	10	(25)	1	10	21
17	ITA8901	Alessandra Grasso	Girl	Red	NIC Catania	2	15	4	(22)	21
18	SUI1762	Boris Hirsch	 	White	SNG	5	(39)	2	14	21
19	GER13530	Müller Louisa	Girl	White	Bayerischer Yachtclub	4	(19)	4	13	21
20	ITA7918	Mattia Santostefano	 	White	SVOC	7	(43)	5	10	22
21	CRO1213	Antun Tomasevic	 	White	JK Labud	8	8	(16)	7	23
22	ITA8932	Jan Pernarcic	 	Blue	Jadralni Klub Èupa	(20)	18	5	1	24
23	SLO1005	Ivan Vakhrushev	 	Blue	Jk Pirat	9	1	14	(32)	24
24	MON1415	Choquet Mathieu	 	Red	YC MONACO	3	(38)	17	4	24
25	SLO311	Alenka Valencic	Girl	Red	JK Burja Izola	8	4	12	(37)	24
26	ITA8952	Milone Erica	Girl	White	YC Adriaco	(23)	5	7	12	24
27	HUN1148	Nandor Verebely	 	Red	Spartacus YC	7	(29)	11	6	24
28	ITA3	Antoniazzi Massimiliano	 	Yellow	YC Adriaco	7	(23)	18	1	26
29	SUI1666	Philipp Roth	 	Yellow	SCC	9	4	14	(16)	27
30	AUT1255	Paul Kropfitsch	 	Red	KYCK	7	(24)	23	1	31
31	ITA8688	Gianpiero Pagliaro	 	Blue	NIC Catania	14	4	15	(19)	33
32	FRA2591	Callum Wyper	 	Blue	SR Antibes	9	14	10	(44)	33
33	CRO1137	Lea Rakovac	Girl & U12	Red	JK Vega	11	11	11	(17)	33
34	SUI1775	Zimmerli Luis	 	Red	SCC	2	17	(25)	15	34
35	CRO1150	Tin Fike	 	Yellow	JD VAL CRIKVENICA	6	7	(22)	21	34
36	AUT1225	Anton Messeritsch	 	Blue	YCBb	22	(35)	5	8	35
37	CRO1119	Luka Vukovic	 	Red	JK Labud	15	14	(33)	7	36
38	ITA8810	Valerio Mugnano	 	Blue	FRAGLIA VELA RIVA	9	(22)	9	18	36
39	ITA8701	Martino Betta	 	White	FRAGLIA VELA RIVA	2	10	25	(104\DNF)	37
40	SUI1839	Ludovico Cornaro	 	Yellow	CVLL	21	(28)	11	6	38
41	FRA2691	Dumont Timothé	 	Yellow	La Pelle Marseille	1	(34)	29	9	39
42	AUT1341	Maximilian Heidkamp	 	Blue	SCTWV	17	(47)	13	10	40
43	SLO234	Marina Vrscaj	Girl	White	WSC Èrnomelj	12	17	(18)	11	40
